
MAT_M: 
[ 1, 1]: 1.638e-02 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]: 8.190e-03 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 1.504e-18 [ 1,20]:-3.406e-17 [ 1,21]:-3.333e-18 [ 1,22]: 5.098e-18 [ 1,23]:-2.527e-17 [ 1,24]: 9.979e-02 [ 1,25]: 4.495e-17 [ 1,26]:-1.395e-16 [ 1,27]:-3.377e-17 [ 1,28]: 1.538e-16 [ 1,29]: 5.823e-16 [ 1,30]: 7.337e-17 [ 1,31]:-4.989e-02 [ 1,32]:-5.950e-17 [ 1,33]: 5.935e-17 [ 1,34]: 5.438e-17 [ 1,35]: 9.253e-17 [ 1,36]: 2.716e-16 [ 1,37]: 1.363e-16 [ 1,38]: 3.326e-02 [ 1,39]: 3.753e-17 [ 1,40]: 3.363e-18 [ 1,41]: 1.279e-17 [ 1,42]:-8.199e-16 [ 1,43]:-2.196e-15 [ 1,44]:-2.495e-02 [ 1,45]:-3.740e-15 [ 1,46]: 9.563e-17 [ 1,47]:-4.834e-17 [ 1,48]:-2.415e-16 
[27, 1]:-3.377e-17 [27, 2]: 4.256e-02 [27, 3]:-5.835e-05 [27, 4]: 2.778e-18 [27, 5]: 2.861e-07 [27, 6]: 2.087e-04 [27, 7]:-7.900e-17 [27, 8]: 4.256e-02 [27, 9]:-5.835e-05 [27,10]: 1.475e-18 [27,11]:-2.861e-07 [27,12]:-2.087e-04 [27,13]:-8.712e-19 [27,14]:-5.503e-19 [27,15]:-1.404e-18 [27,16]: 1.663e-20 [27,17]: 1.117e-20 [27,18]:-1.018e-20 [27,19]: 0.000e+00 [27,20]: 0.000e+00 [27,21]: 0.000e+00 [27,22]: 0.000e+00 [27,23]: 0.000e+00 [27,24]: 0.000e+00 [27,25]: 0.000e+00 [27,26]: 0.000e+00 [27,27]: 1.000e+00 [27,28]: 0.000e+00 [27,29]: 0.000e+00 [27,30]: 0.000e+00 [27,31]: 0.000e+00 [27,32]: 0.000e+00 [27,33]: 0.000e+00 [27,34]: 0.000e+00 [27,35]: 0.000e+00 [27,36]: 0.000e+00 [27,37]: 0.000e+00 [27,38]: 0.000e+00 [27,39]: 0.000e+00 [27,40]: 0.000e+00 [27,41]: 0.000e+00 [27,42]: 0.000e+00 [27,43]: 0.000e+00 [27,44]: 0.000e+00 [27,45]: 0.000e+00 [27,46]: 0.000e+00 [27,47]: 0.000e+00 [27,48]: 0.000e+00 
[28, 1]: 1.538e-16 [28, 2]:-5.287e-05 [28, 3]: 3.293e-02 [28, 4]:-5.988e-16 [28, 5]:-1.102e-04 [28, 6]:-1.770e-07 [28, 7]:-1.303e-16 [28, 8]: 5.287e-05 [28, 9]:-3.293e-02 [28,10]: 5.990e-16 [28,11]:-1.102e-04 [28,12]:-1.770e-07 [28,13]:-6.161e-18 [28,14]:-7.751e-18 [28,15]: 9.555e-19 [28,16]:-2.035e-20 [28,17]: 1.369e-20 [28,18]:-1.398e-20 [28,19]: 0.000e+00 [28,20]: 0.000e+00 [28,21]: 0.000e+00 [28,22]: 0.000e+00 [28,23]: 0.000e+00 [28,24]: 0.000e+00 [28,25]: 0.000e+00 [28,26]: 0.000e+00 [28,27]: 0.000e+00 [28,28]: 1.000e+00 [28,29]: 0.000e+00 [28,30]: 0.000e+00 [28,31]: 0.000e+00 [28,32]: 0.000e+00 [28,33]: 0.000e+00 [28,34]: 0.000e+00 [28,35]: 0.000e+00 [28,36]: 0.000e+00 [28,37]: 0.000e+00 [28,38]: 0.000e+00 [28,39]: 0.000e+00 [28,40]: 0.000e+00 [28,41]: 0.000e+00 [28,42]: 0.000e+00 [28,43]: 0.000e+00 [28,44]: 0.000e+00 [28,45]: 0.000e+00 [28,46]: 0.000e+00 [28,47]: 0.000e+00 [28,48]: 0.000e+00 
[29, 1]: 5.823e-16 [29, 2]:-3.293e-02 [29, 3]:-5.287e-05 [29, 4]: 1.234e-18 [29, 5]: 1.770e-07 [29, 6]:-1.102e-04 [29, 7]:-4.316e-16 [29, 8]: 3.293e-02 [29, 9]: 5.287e-05 [29,10]:-9.142e-19 [29,11]: 1.770e-07 [29,12]:-1.102e-04 [29,13]:-1.116e-18 [29,14]:-3.879e-17 [29,15]:-1.584e-17 [29,16]:-1.161e-19 [29,17]: 8.696e-20 [29,18]:-1.474e-20 [29,19]: 0.000e+00 [29,20]: 0.000e+00 [29,21]: 0.000e+00 [29,22]: 0.000e+00 [29,23]: 0.000e+00 [29,24]: 0.000e+00 [29,25]: 0.000e+00 [29,26]: 0.000e+00 [29,27]: 0.000e+00 [29,28]: 0.000e+00 [29,29]: 1.000e+00 [29,30]: 0.000e+00 [29,31]: 0.000e+00 [29,32]: 0.000e+00 [29,33]: 0.000e+00 [29,34]: 0.000e+00 [29,35]: 0.000e+00 [29,36]: 0.000e+00 [29,37]: 0.000e+00 [29,38]: 0.000e+00 [29,39]: 0.000e+00 [29,40]: 0.000e+00 [29,41]: 0.000e+00 [29,42]: 0.000e+00 [29,43]: 0.000e+00 [29,44]: 0.000e+00 [29,45]: 0.000e+00 [29,46]: 0.000e+00 [29,47]: 0.000e+00 [29,48]: 0.000e+00 
[30, 1]: 7.337e-17 [30, 2]:-2.040e-17 [30, 3]: 7.902e-14 [30, 4]: 1.358e-04 [30, 5]:-4.654e-16 [30, 6]:-2.869e-20 [30, 7]:-1.827e-17 [30, 8]: 1.289e-18 [30, 9]: 7.900e-14 [30,10]: 1.358e-04 [30,11]: 4.654e-16 [30,12]:-1.776e-19 [30,13]: 7.338e-19 [30,14]: 2.301e-18 [30,15]:-2.595e-18 [30,16]: 1.453e-19 [30,17]:-2.009e-20 [30,18]: 4.427e-20 [30,19]: 0.000e+00 [30,20]: 0.000e+00 [30,21]: 0.000e+00 [30,22]: 0.000e+00 [30,23]: 0.000e+00 [30,24]: 0.000e+00 [30,25]: 0.000e+00 [30,26]: 0.000e+00 [30,27]: 0.000e+00 [30,28]: 0.000e+00 [30,29]: 0.000e+00 [30,30]: 1.000e+00 [30,31]: 0.000e+00 [30,32]: 0.000e+00 [30,33]: 0.000e+00 [30,34]: 0.000e+00 [30,35]: 0.000e+00 [30,36]: 0.000e+00 [30,37]: 0.000e+00 [30,38]: 0.000e+00 [30,39]: 0.000e+00 [30,40]: 0.000e+00 [30,41]: 0.000e+00 [30,42]: 0.000e+00 [30,43]: 0.000e+00 [30,44]: 0.000e+00 [30,45]: 0.000e+00 [30,46]: 0.000e+00 [30,47]: 0.000e+00 [30,48]: 0.000e+00 
[31, 1]:-4.989e-02 [31, 2]:-2.750e-16 [31, 3]:-9.128e-17 [31, 4]: 6.670e-19 [31, 5]: 8.108e-19 [31, 6]:-1.233e-18 [31, 7]: 4.989e-02 [31, 8]: 3.101e-16 [31, 9]:-2.406e-16 [31,10]: 1.184e-18 [31,11]:-9.606e-19 [31,12]:-1.112e-18 [31,13]: 4.658e-18 [31,14]:-6.470e-18 [31,15]: 9.357e-18 [31,16]: 1.193e-19 [31,17]:-1.847e-20 [31,18]: 2.752e-19 [31,19]: 0.000e+00 [31,20]: 0.000e+00 [31,21]: 0.000e+00 [31,22]: 0.000e+00 [31,23]: 0.000e+00 [31,24]: 0.000e+00 [31,25]: 0.000e+00 [31,26]: 0.000e+00 [31,27]: 0.000e+00 [31,28]: 0.000e+00 [31,29]: 0.000e+00 [31,30]: 0.000e+00 [31,31]: 1.000e+00 [31,32]: 0.000e+00 [31,33]: 0.000e+00 [31,34]: 0.000e+00 [31,35]: 0.000e+00 [31,36]: 0.000e+00 [31,37]: 0.000e+00 [31,38]: 0.000e+00 [31,39]: 0.000e+00 [31,40]: 0.000e+00 [31,41]: 0.000e+00 [31,42]: 0.000e+00 [31,43]: 0.000e+00 [31,44]: 0.000e+00 [31,45]: 0.000e+00 [31,46]: 0.000e+00 [31,47]: 0.000e+00 [31,48]: 0.000e+00 
[32, 1]:-5.950e-17 [32, 2]:-4.331e-04 [32, 3]: 2.639e-02 [32, 4]:-3.235e-16 [32, 5]:-6.094e-05 [32, 6]:-1.000e-06 [32, 7]: 3.257e-17 [32, 8]:-4.331e-04 [32, 9]: 2.639e-02 [32,10]:-3.254e-16 [32,11]: 6.094e-05 [32,12]: 1.000e-06 [32,13]: 3.829e-18 [32,14]:-2.114e-18 [32,15]: 4.307e-19 [32,16]:-2.905e-21 [32,17]: 1.015e-20 [32,18]:-1.022e-20 [32,19]: 0.000e+00 [32,20]: 0.000e+00 [32,21]: 0.000e+00 [32,22]: 0.000e+00 [32,23]: 0.000e+00 [32,24]: 0.000e+00 [32,25]: 0.000e+00 [32,26]: 0.000e+00 [32,27]: 0.000e+00 [32,28]: 0.000e+00 [32,29]: 0.000e+00 [32,30]: 0.000e+00 [32,31]: 0.000e+00 [32,32]: 1.000e+00 [32,33]: 0.000e+00 [32,34]: 0.000e+00 [32,35]: 0.000e+00 [32,36]: 0.000e+00 [32,37]: 0.000e+00 [32,38]: 0.000e+00 [32,39]: 0.000e+00 [32,40]: 0.000e+00 [32,41]: 0.000e+00 [32,42]: 0.000e+00 [32,43]: 0.000e+00 [32,44]: 0.000e+00 [32,45]: 0.000e+00 [32,46]: 0.000e+00 [32,47]: 0.000e+00 [32,48]: 0.000e+00 
[33, 1]: 5.935e-17 [33, 2]: 2.639e-02 [33, 3]: 4.331e-04 [33, 4]:-4.812e-18 [33, 5]:-1.000e-06 [33, 6]: 6.094e-05 [33, 7]:-4.965e-17 [33, 8]: 2.639e-02 [33, 9]: 4.331e-04 [33,10]:-5.430e-18 [33,11]: 1.000e-06 [33,12]:-6.094e-05 [33,13]:-3.553e-18 [33,14]:-1.217e-17 [33,15]:-8.701e-18 [33,16]:-1.962e-22 [33,17]:-2.011e-20 [33,18]: 2.472e-20 [33,19]: 0.000e+00 [33,20]: 0.000e+00 [33,21]: 0.000e+00 [33,22]: 0.000e+00 [33,23]: 0.000e+00 [33,24]: 0.000e+00 [33,25]: 0.000e+00 [33,26]: 0.000e+00 [33,27]: 0.000e+00 [33,28]: 0.000e+00 [33,29]: 0.000e+00 [33,30]: 0.000e+00 [33,31]: 0.000e+00 [33,32]: 0.000e+00 [33,33]: 1.000e+00 [33,34]: 0.000e+00 [33,35]: 0.000e+00 [33,36]: 0.000e+00 [33,37]: 0.000e+00 [33,38]: 0.000e+00 [33,39]: 0.000e+00 [33,40]: 0.000e+00 [33,41]: 0.000e+00 [33,42]: 0.000e+00 [33,43]: 0.000e+00 [33,44]: 0.000e+00 [33,45]: 0.000e+00 [33,46]: 0.000e+00 [33,47]: 0.000e+00 [33,48]: 0.000e+00 
[34, 1]: 5.438e-17 [34, 2]: 6.052e-17 [34, 3]:-5.375e-14 [34, 4]:-1.018e-04 [34, 5]: 1.922e-16 [34, 6]:-1.283e-19 [34, 7]:-1.207e-16 [34, 8]: 9.000e-17 [34, 9]: 5.425e-14 [34,10]: 1.018e-04 [34,11]: 1.931e-16 [34,12]:-3.003e-19 [34,13]:-1.191e-17 [34,14]:-4.179e-17 [34,15]:-1.996e-17 [34,16]:-1.707e-19 [34,17]:-9.958e-21 [34,18]:-4.658e-20 [34,19]: 0.000e+00 [34,20]: 0.000e+00 [34,21]: 0.000e+00 [34,22]: 0.000e+00 [34,23]: 0.000e+00 [34,24]: 0.000e+00 [34,25]: 0.000e+00 [34,26]: 0.000e+00 [34,27]: 0.000e+00 [34,28]: 0.000e+00 [34,29]: 0.000e+00 [34,30]: 0.000e+00 [34,31]: 0.000e+00 [34,32]: 0.000e+00 [34,33]: 0.000e+00 [34,34]: 1.000e+00 [34,35]: 0.000e+00 [34,36]: 0.000e+00 [34,37]: 0.000e+00 [34,38]: 0.000e+00 [34,39]: 0.000e+00 [34,40]: 0.000e+00 [34,41]: 0.000e+00 [34,42]: 0.000e+00 [34,43]: 0.000e+00 [34,44]: 0.000e+00 [34,45]: 0.000e+00 [34,46]: 0.000e+00 [34,47]: 0.000e+00 [34,48]: 0.000e+00 
[35, 1]: 9.253e-17 [35, 2]:-5.633e-05 [35, 3]: 2.170e-02 [35, 4]:-2.098e-16 [35, 5]:-3.329e-05 [35, 6]:-8.640e-08 [35, 7]: 1.048e-16 [35, 8]: 5.633e-05 [35, 9]:-2.170e-02 [35,10]: 2.084e-16 [35,11]:-3.329e-05 [35,12]:-8.640e-08 [35,13]:-1.065e-17 [35,14]:-1.264e-17 [35,15]: 1.699e-17 [35,16]:-2.926e-20 [35,17]: 5.386e-20 [35,18]: 2.607e-20 [35,19]: 0.000e+00 [35,20]: 0.000e+00 [35,21]: 0.000e+00 [35,22]: 0.000e+00 [35,23]: 0.000e+00 [35,24]: 0.000e+00 [35,25]: 0.000e+00 [35,26]: 0.000e+00 [35,27]: 0.000e+00 [35,28]: 0.000e+00 [35,29]: 0.000e+00 [35,30]: 0.000e+00 [35,31]: 0.000e+00 [35,32]: 0.000e+00 [35,33]: 0.000e+00 [35,34]: 0.000e+00 [35,35]: 1.000e+00 [35,36]: 0.000e+00 [35,37]: 0.000e+00 [35,38]: 0.000e+00 [35,39]: 0.000e+00 [35,40]: 0.000e+00 [35,41]: 0.000e+00 [35,42]: 0.000e+00 [35,43]: 0.000e+00 [35,44]: 0.000e+00 [35,45]: 0.000e+00 [35,46]: 0.000e+00 [35,47]: 0.000e+00 [35,48]: 0.000e+00 
[36, 1]: 2.716e-16 [36, 2]:-2.170e-02 [36, 3]:-5.633e-05 [36, 4]:-2.809e-19 [36, 5]: 8.640e-08 [36, 6]:-3.329e-05 [36, 7]: 2.779e-16 [36, 8]: 2.170e-02 [36, 9]: 5.633e-05 [36,10]:-1.604e-18 [36,11]: 8.640e-08 [36,12]:-3.329e-05 [36,13]: 1.919e-18 [36,14]: 8.990e-18 [36,15]: 8.599e-18 [36,16]: 2.589e-20 [36,17]:-4.873e-22 [36,18]: 3.158e-20 [36,19]: 0.000e+00 [36,20]: 0.000e+00 [36,21]: 0.000e+00 [36,22]: 0.000e+00 [36,23]: 0.000e+00 [36,24]: 0.000e+00 [36,25]: 0.000e+00 [36,26]: 0.000e+00 [36,27]: 0.000e+00 [36,28]: 0.000e+00 [36,29]: 0.000e+00 [36,30]: 0.000e+00 [36,31]: 0.000e+00 [36,32]: 0.000e+00 [36,33]: 0.000e+00 [36,34]: 0.000e+00 [36,35]: 0.000e+00 [36,36]: 1.000e+00 [36,37]: 0.000e+00 [36,38]: 0.000e+00 [36,39]: 0.000e+00 [36,40]: 0.000e+00 [36,41]: 0.000e+00 [36,42]: 0.000e+00 [36,43]: 0.000e+00 [36,44]: 0.000e+00 [36,45]: 0.000e+00 [36,46]: 0.000e+00 [36,47]: 0.000e+00 [36,48]: 0.000e+00 
[37, 1]: 1.363e-16 [37, 2]:-4.192e-16 [37, 3]: 4.034e-14 [37, 4]: 8.148e-05 [37, 5]:-8.749e-17 [37, 6]:-5.023e-19 [37, 7]:-3.372e-16 [37, 8]: 5.902e-16 [37, 9]: 3.986e-14 [37,10]: 8.148e-05 [37,11]: 8.727e-17 [37,12]:-6.339e-19 [37,13]:-5.021e-18 [37,14]: 8.012e-17 [37,15]:-2.455e-17 [37,16]: 2.646e-19 [37,17]: 2.040e-19 [37,18]:-6.449e-19 [37,19]: 0.000e+00 [37,20]: 0.000e+00 [37,21]: 0.000e+00 [37,22]: 0.000e+00 [37,23]: 0.000e+00 [37,24]: 0.000e+00 [37,25]: 0.000e+00 [37,26]: 0.000e+00 [37,27]: 0.000e+00 [37,28]: 0.000e+00 [37,29]: 0.000e+00 [37,30]: 0.000e+00 [37,31]: 0.000e+00 [37,32]: 0.000e+00 [37,33]: 0.000e+00 [37,34]: 0.000e+00 [37,35]: 0.000e+00 [37,36]: 0.000e+00 [37,37]: 1.000e+00 [37,38]: 0.000e+00 [37,39]: 0.000e+00 [37,40]: 0.000e+00 [37,41]: 0.000e+00 [37,42]: 0.000e+00 [37,43]: 0.000e+00 [37,44]: 0.000e+00 [37,45]: 0.000e+00 [37,46]: 0.000e+00 [37,47]: 0.000e+00 [37,48]: 0.000e+00 
[38, 1]: 3.326e-02 [38, 2]: 1.372e-16 [38, 3]:-1.667e-17 [38, 4]: 2.041e-19 [38, 5]: 1.342e-19 [38, 6]: 2.083e-19 [38, 7]: 3.326e-02 [38, 8]:-2.314e-17 [38, 9]: 8.192e-17 [38,10]: 1.659e-19 [38,11]:-8.761e-20 [38,12]: 1.106e-19 [38,13]:-1.966e-18 [38,14]:-1.372e-17 [38,15]:-1.151e-18 [38,16]: 1.202e-20 [38,17]:-1.732e-20 [38,18]: 4.661e-20 [38,19]: 0.000e+00 [38,20]: 0.000e+00 [38,21]: 0.000e+00 [38,22]: 0.000e+00 [38,23]: 0.000e+00 [38,24]: 0.000e+00 [38,25]: 0.000e+00 [38,26]: 0.000e+00 [38,27]: 0.000e+00 [38,28]: 0.000e+00 [38,29]: 0.000e+00 [38,30]: 0.000e+00 [38,31]: 0.000e+00 [38,32]: 0.000e+00 [38,33]: 0.000e+00 [38,34]: 0.000e+00 [38,35]: 0.000e+00 [38,36]: 0.000e+00 [38,37]: 0.000e+00 [38,38]: 1.000e+00 [38,39]: 0.000e+00 [38,40]: 0.000e+00 [38,41]: 0.000e+00 [38,42]: 0.000e+00 [38,43]: 0.000e+00 [38,44]: 0.000e+00 [38,45]: 0.000e+00 [38,46]: 0.000e+00 [38,47]: 0.000e+00 [38,48]: 0.000e+00 
[39, 1]: 3.753e-17 [39, 2]: 5.025e-05 [39, 3]: 1.820e-02 [39, 4]:-1.489e-16 [39, 5]:-1.651e-05 [39, 6]: 4.559e-08 [39, 7]: 8.677e-17 [39, 8]: 5.025e-05 [39, 9]: 1.820e-02 [39,10]:-1.497e-16 [39,11]: 1.651e-05 [39,12]:-4.559e-08 [39,13]: 8.629e-18 [39,14]:-2.607e-17 [39,15]:-3.540e-17 [39,16]: 4.840e-21 [39,17]:-2.050e-20 [39,18]: 5.590e-20 [39,19]: 0.000e+00 [39,20]: 0.000e+00 [39,21]: 0.000e+00 [39,22]: 0.000e+00 [39,23]: 0.000e+00 [39,24]: 0.000e+00 [39,25]: 0.000e+00 [39,26]: 0.000e+00 [39,27]: 0.000e+00 [39,28]: 0.000e+00 [39,29]: 0.000e+00 [39,30]: 0.000e+00 [39,31]: 0.000e+00 [39,32]: 0.000e+00 [39,33]: 0.000e+00 [39,34]: 0.000e+00 [39,35]: 0.000e+00 [39,36]: 0.000e+00 [39,37]: 0.000e+00 [39,38]: 0.000e+00 [39,39]: 1.000e+00 [39,40]: 0.000e+00 [39,41]: 0.000e+00 [39,42]: 0.000e+00 [39,43]: 0.000e+00 [39,44]: 0.000e+00 [39,45]: 0.000e+00 [39,46]: 0.000e+00 [39,47]: 0.000e+00 [39,48]: 0.000e+00 
[40, 1]: 3.363e-18 [40, 2]:-1.820e-02 [40, 3]: 5.025e-05 [40, 4]:-1.471e-19 [40, 5]:-4.559e-08 [40, 6]:-1.651e-05 [40, 7]: 1.201e-16 [40, 8]:-1.820e-02 [40, 9]: 5.025e-05 [40,10]:-1.233e-18 [40,11]: 4.559e-08 [40,12]: 1.651e-05 [40,13]: 1.460e-17 [40,14]: 1.973e-17 [40,15]: 4.037e-17 [40,16]: 6.735e-20 [40,17]: 3.024e-20 [40,18]:-3.711e-20 [40,19]: 0.000e+00 [40,20]: 0.000e+00 [40,21]: 0.000e+00 [40,22]: 0.000e+00 [40,23]: 0.000e+00 [40,24]: 0.000e+00 [40,25]: 0.000e+00 [40,26]: 0.000e+00 [40,27]: 0.000e+00 [40,28]: 0.000e+00 [40,29]: 0.000e+00 [40,30]: 0.000e+00 [40,31]: 0.000e+00 [40,32]: 0.000e+00 [40,33]: 0.000e+00 [40,34]: 0.000e+00 [40,35]: 0.000e+00 [40,36]: 0.000e+00 [40,37]: 0.000e+00 [40,38]: 0.000e+00 [40,39]: 0.000e+00 [40,40]: 1.000e+00 [40,41]: 0.000e+00 [40,42]: 0.000e+00 [40,43]: 0.000e+00 [40,44]: 0.000e+00 [40,45]: 0.000e+00 [40,46]: 0.000e+00 [40,47]: 0.000e+00 [40,48]: 0.000e+00 
[41, 1]: 1.279e-17 [41, 2]:-2.443e-16 [41, 3]:-3.113e-14 [41, 4]:-6.790e-05 [41, 5]: 3.622e-17 [41, 6]:-3.524e-19 [41, 7]:-1.538e-16 [41, 8]:-2.980e-17 [41, 9]: 3.133e-14 [41,10]: 6.790e-05 [41,11]: 3.632e-17 [41,12]: 8.894e-20 [41,13]:-1.248e-17 [41,14]: 6.588e-17 [41,15]:-7.750e-18 [41,16]: 5.446e-19 [41,17]: 1.187e-19 [41,18]:-4.642e-19 [41,19]: 0.000e+00 [41,20]: 0.000e+00 [41,21]: 0.000e+00 [41,22]: 0.000e+00 [41,23]: 0.000e+00 [41,24]: 0.000e+00 [41,25]: 0.000e+00 [41,26]: 0.000e+00 [41,27]: 0.000e+00 [41,28]: 0.000e+00 [41,29]: 0.000e+00 [41,30]: 0.000e+00 [41,31]: 0.000e+00 [41,32]: 0.000e+00 [41,33]: 0.000e+00 [41,34]: 0.000e+00 [41,35]: 0.000e+00 [41,36]: 0.000e+00 [41,37]: 0.000e+00 [41,38]: 0.000e+00 [41,39]: 0.000e+00 [41,40]: 0.000e+00 [41,41]: 1.000e+00 [41,42]: 0.000e+00 [41,43]: 0.000e+00 [41,44]: 0.000e+00 [41,45]: 0.000e+00 [41,46]: 0.000e+00 [41,47]: 0.000e+00 [41,48]: 0.000e+00 
[42, 1]:-8.199e-16 [42, 2]:-1.310e-04 [42, 3]: 1.481e-02 [42, 4]:-9.807e-17 [42, 5]: 2.189e-07 [42, 6]: 1.937e-09 [42, 7]: 1.015e-15 [42, 8]: 1.310e-04 [42, 9]:-1.481e-02 [42,10]: 1.219e-16 [42,11]: 2.189e-07 [42,12]: 1.937e-09 [42,13]:-1.078e-17 [42,14]: 8.486e-18 [42,15]: 6.107e-17 [42,16]:-3.593e-19 [42,17]: 8.508e-20 [42,18]: 8.270e-20 [42,19]: 0.000e+00 [42,20]: 0.000e+00 [42,21]: 0.000e+00 [42,22]: 0.000e+00 [42,23]: 0.000e+00 [42,24]: 0.000e+00 [42,25]: 0.000e+00 [42,26]: 0.000e+00 [42,27]: 0.000e+00 [42,28]: 0.000e+00 [42,29]: 0.000e+00 [42,30]: 0.000e+00 [42,31]: 0.000e+00 [42,32]: 0.000e+00 [42,33]: 0.000e+00 [42,34]: 0.000e+00 [42,35]: 0.000e+00 [42,36]: 0.000e+00 [42,37]: 0.000e+00 [42,38]: 0.000e+00 [42,39]: 0.000e+00 [42,40]: 0.000e+00 [42,41]: 0.000e+00 [42,42]: 1.000e+00 [42,43]: 0.000e+00 [42,44]: 0.000e+00 [42,45]: 0.000e+00 [42,46]: 0.000e+00 [42,47]: 0.000e+00 [42,48]: 0.000e+00 
[43, 1]:-2.196e-15 [43, 2]:-1.481e-02 [43, 3]:-1.310e-04 [43, 4]: 4.774e-18 [43, 5]:-1.937e-09 [43, 6]: 2.189e-07 [43, 7]: 2.072e-15 [43, 8]: 1.481e-02 [43, 9]: 1.310e-04 [43,10]: 3.088e-18 [43,11]:-1.937e-09 [43,12]: 2.189e-07 [43,13]: 7.248e-18 [43,14]: 2.190e-18 [43,15]: 1.580e-17 [43,16]:-1.153e-19 [43,17]:-4.618e-20 [43,18]:-3.955e-20 [43,19]: 0.000e+00 [43,20]: 0.000e+00 [43,21]: 0.000e+00 [43,22]: 0.000e+00 [43,23]: 0.000e+00 [43,24]: 0.000e+00 [43,25]: 0.000e+00 [43,26]: 0.000e+00 [43,27]: 0.000e+00 [43,28]: 0.000e+00 [43,29]: 0.000e+00 [43,30]: 0.000e+00 [43,31]: 0.000e+00 [43,32]: 0.000e+00 [43,33]: 0.000e+00 [43,34]: 0.000e+00 [43,35]: 0.000e+00 [43,36]: 0.000e+00 [43,37]: 0.000e+00 [43,38]: 0.000e+00 [43,39]: 0.000e+00 [43,40]: 0.000e+00 [43,41]: 0.000e+00 [43,42]: 0.000e+00 [43,43]: 1.000e+00 [43,44]: 0.000e+00 [43,45]: 0.000e+00 [43,46]: 0.000e+00 [43,47]: 0.000e+00 [43,48]: 0.000e+00 
[44, 1]:-2.495e-02 [44, 2]: 1.409e-15 [44, 3]:-6.855e-16 [44, 4]:-7.705e-18 [44, 5]: 7.061e-19 [44, 6]:-4.891e-20 [44, 7]: 2.495e-02 [44, 8]:-1.130e-15 [44, 9]: 4.910e-16 [44,10]:-8.143e-18 [44,11]:-8.524e-19 [44,12]: 2.888e-20 [44,13]: 7.094e-18 [44,14]: 1.981e-17 [44,15]: 7.789e-17 [44,16]: 6.144e-20 [44,17]: 7.756e-20 [44,18]:-4.795e-20 [44,19]: 0.000e+00 [44,20]: 0.000e+00 [44,21]: 0.000e+00 [44,22]: 0.000e+00 [44,23]: 0.000e+00 [44,24]: 0.000e+00 [44,25]: 0.000e+00 [44,26]: 0.000e+00 [44,27]: 0.000e+00 [44,28]: 0.000e+00 [44,29]: 0.000e+00 [44,30]: 0.000e+00 [44,31]: 0.000e+00 [44,32]: 0.000e+00 [44,33]: 0.000e+00 [44,34]: 0.000e+00 [44,35]: 0.000e+00 [44,36]: 0.000e+00 [44,37]: 0.000e+00 [44,38]: 0.000e+00 [44,39]: 0.000e+00 [44,40]: 0.000e+00 [44,41]: 0.000e+00 [44,42]: 0.000e+00 [44,43]: 0.000e+00 [44,44]: 1.000e+00 [44,45]: 0.000e+00 [44,46]: 0.000e+00 [44,47]: 0.000e+00 [44,48]: 0.000e+00 
[45, 1]:-3.740e-15 [45, 2]: 1.287e-15 [45, 3]: 2.179e-14 [45, 4]: 5.820e-05 [45, 5]:-4.469e-18 [45, 6]: 1.262e-19 [45, 7]: 3.561e-15 [45, 8]:-9.195e-16 [45, 9]: 2.853e-14 [45,10]: 5.820e-05 [45,11]: 7.802e-18 [45,12]: 2.235e-18 [45,13]: 1.252e-16 [45,14]:-3.233e-16 [45,15]:-1.576e-16 [45,16]: 1.608e-18 [45,17]:-6.088e-20 [45,18]: 7.635e-19 [45,19]: 0.000e+00 [45,20]: 0.000e+00 [45,21]: 0.000e+00 [45,22]: 0.000e+00 [45,23]: 0.000e+00 [45,24]: 0.000e+00 [45,25]: 0.000e+00 [45,26]: 0.000e+00 [45,27]: 0.000e+00 [45,28]: 0.000e+00 [45,29]: 0.000e+00 [45,30]: 0.000e+00 [45,31]: 0.000e+00 [45,32]: 0.000e+00 [45,33]: 0.000e+00 [45,34]: 0.000e+00 [45,35]: 0.000e+00 [45,36]: 0.000e+00 [45,37]: 0.000e+00 [45,38]: 0.000e+00 [45,39]: 0.000e+00 [45,40]: 0.000e+00 [45,41]: 0.000e+00 [45,42]: 0.000e+00 [45,43]: 0.000e+00 [45,44]: 0.000e+00 [45,45]: 1.000e+00 [45,46]: 0.000e+00 [45,47]: 0.000e+00 [45,48]: 0.000e+00 
